City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Meiganga,CM,65.35,overcast clouds,6.52,14.3,DFR HOUSE
178,Anqing,CN,66.88,clear sky,30.51,117.05,Hongtian Hotel
180,Samana,DO,75.79,broken clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
183,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
187,Maryborough,AU,87.87,clear sky,-25.53,152.7,Blue Shades Motel
188,Voh,NC,82.6,few clouds,-20.97,164.7,Le gîte du Koniambo
189,Cockburn Town,TC,80.62,clear sky,21.46,-71.14,Osprey Beach Hotel
190,Beloha,MG,68.54,clear sky,-25.17,45.05,
193,Phan Thiet,VN,82.31,overcast clouds,10.93,108.1,Hotel Saigon-PT
194,Poum,NC,77.67,clear sky,-20.23,164.02,Gîte kajeon
196,Ribeira Grande,PT,66.06,overcast clouds,38.52,-28.7,Quinta da Meia Eira
198,Sungairaya,ID,86.02,light rain,0.7,108.9,Mess P.Milu
199,Maravilha,BR,71.6,clear sky,-26.76,-53.17,Maravilha Palace Hotel
200,Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
201,Los Llanos De Aridane,ES,71.6,scattered clouds,28.66,-17.92,Valle Aridane
202,Morondava,MG,75.6,clear sky,-20.28,44.28,La Case Bambou
204,Urucara,BR,76.08,moderate rain,-2.54,-57.76,Pousada Maria Bonita
206,Caravelas,BR,74.88,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
208,Ferkessedougou,CI,69.04,broken clouds,9.6,-5.2,Hotel Chateau
209,Butaritari,KI,81.75,broken clouds,3.07,172.79,Isles Sunset Lodge
210,Balaipungut,ID,86.0,scattered clouds,1.05,101.28,Swee Ann Homestay
211,Padang,ID,87.37,broken clouds,-0.95,100.35,Mercure Padang
213,Ugoofaaru,MV,80.94,light rain,5.67,73.0,Ungoofaaru Inn
214,Bengkulu,ID,85.86,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
215,Pangoa,PE,68.38,heavy intensity rain,-12.12,-73.0,
219,Vao,NC,75.11,clear sky,-22.67,167.48,Hotel Kou-Bugny
221,Tucupita,VE,74.5,overcast clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
222,Port Augusta,AU,88.0,clear sky,-32.5,137.77,Majestic Oasis Apartments
224,Arraial Do Cabo,BR,73.15,light rain,-22.97,-42.03,Pousada Porto Praia
225,Monrovia,LR,77.0,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
226,Taoudenni,ML,71.15,broken clouds,22.68,-3.98,
229,Canico,PT,69.8,scattered clouds,32.63,-16.85,Quinta Splendida Wellness & Botanical Garden
231,Aliaga,PH,87.8,broken clouds,15.52,120.87,Jhenie rich ramos
235,Hervey Bay,AU,86.0,clear sky,-25.3,152.85,Shelly Bay Resort
236,Boke,GN,72.0,clear sky,10.94,-14.3,Hôtel Rio Nunez - Boké
237,Promissao,BR,73.35,clear sky,-21.54,-49.86,Recanto Monte Cristo
239,San Matias,BO,76.57,heavy intensity rain,-16.37,-58.4,"HOTEL ""SAN JOSE"""
240,Jiwani,PK,76.71,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
242,Upington,ZA,73.4,clear sky,-28.45,21.26,River Place Manor
246,Pandan,PH,85.33,clear sky,14.05,124.17,Bonifacio Lodge
247,Cayenne,GF,77.0,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
252,Bandundu,CD,70.72,light rain,-3.32,17.37,Coja Color
256,Domoni,KM,79.43,overcast clouds,-12.26,44.53,Loulou
259,Atar,MR,77.97,few clouds,20.52,-13.05,Oumou Elghoura
262,Bodden Town,KY,82.4,few clouds,19.28,-81.25,Will T Place
