City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
82,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,28.4,74,11,8.95,few clouds
83,Terenos,BR,-20.44,-54.86,69.8,88,75,19.46,thunderstorm
84,Yetkul,RU,54.82,61.59,5.0,84,0,8.95,clear sky
85,Hofn,IS,64.25,-15.21,39.2,64,75,14.99,broken clouds
86,Ribeira Grande,PT,38.52,-28.7,66.2,72,40,6.93,scattered clouds
87,Nalut,LY,30.33,10.85,61.21,37,95,4.76,overcast clouds
88,Cidreira,BR,-30.18,-50.21,79.75,65,99,8.72,overcast clouds
89,Dikson,RU,73.51,80.55,16.43,98,74,12.93,broken clouds
90,Svetlyy,RU,54.67,20.13,50.0,93,100,8.95,light rain
91,Alice Springs,AU,-23.7,133.88,80.6,47,100,11.41,overcast clouds
92,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,82.04,72,68,11.34,broken clouds
93,Algeciras,ES,36.13,-5.45,68.0,72,0,3.36,clear sky
94,Smithers,CA,54.78,-127.17,26.6,100,90,5.82,light snow
95,Flinders,AU,-34.58,150.86,72.0,86,47,1.01,scattered clouds
96,Bejar,ES,40.39,-5.76,57.0,95,100,5.53,overcast clouds
97,Gravdal,NO,68.12,13.5,44.6,70,40,3.36,scattered clouds
98,Suzhou,CN,31.31,120.62,61.0,82,20,5.93,few clouds
99,Khatanga,RU,71.97,102.5,2.21,94,100,10.47,overcast clouds
100,Palmer,US,42.16,-72.33,46.99,64,75,10.63,broken clouds
101,Constitucion,CL,-35.33,-72.42,62.91,53,0,11.74,clear sky
102,Kaitangata,NZ,-46.28,169.85,57.0,87,99,4.65,overcast clouds
103,Avarua,CK,-21.21,-159.78,77.0,88,26,11.41,light rain
104,Pevek,RU,69.7,170.31,15.08,97,100,8.93,light snow
105,Chokurdakh,RU,70.63,147.92,-27.44,87,54,1.43,broken clouds
106,Bambous Virieux,MU,-20.34,57.76,73.4,64,75,10.29,broken clouds
107,Chapais,CA,49.78,-74.85,26.6,63,75,17.22,broken clouds
108,Vardo,NO,70.37,31.11,41.0,86,75,43.62,light intensity drizzle
109,Kjopsvik,NO,68.1,16.37,42.01,86,0,12.75,clear sky
110,Aklavik,CA,68.22,-135.01,17.6,72,90,12.75,light snow
111,Sao Felix Do Xingu,BR,-6.64,-51.99,93.54,45,66,3.22,broken clouds
112,Naze,JP,28.37,129.48,68.0,82,40,3.36,scattered clouds
113,Borzna,UA,51.25,32.43,36.63,85,100,9.44,overcast clouds
114,Union,US,40.63,-74.27,57.2,54,90,13.87,overcast clouds
115,Asosa,ET,10.07,34.53,68.36,55,0,4.23,clear sky
116,Ranong,TH,9.97,98.63,75.4,84,70,4.94,broken clouds
117,Yellowknife,CA,62.46,-114.35,0.0,84,90,8.05,overcast clouds
118,Butaritari,KI,3.07,172.79,80.73,72,17,11.9,few clouds
119,Preobrazheniye,RU,42.9,133.91,42.6,78,18,10.51,few clouds
120,Potsdam,DE,52.4,13.07,48.99,79,77,3.0,broken clouds
121,Ponta Do Sol,PT,32.67,-17.1,69.8,100,75,9.17,broken clouds
122,Bandarbeyla,SO,9.49,50.81,77.0,75,15,19.93,few clouds
123,Baykit,RU,61.67,96.37,-4.02,88,61,2.3,broken clouds
124,Mogadishu,SO,2.04,45.34,80.26,78,9,11.45,clear sky
125,Kumluca,TR,36.37,30.29,64.4,50,0,4.59,clear sky
126,Thompson,CA,55.74,-97.86,5.0,77,75,10.29,light snow
127,Ust-Tsilma,RU,65.44,52.15,30.0,98,99,5.14,overcast clouds
128,Nchelenge,ZM,-9.35,28.73,68.92,87,100,3.67,overcast clouds
129,Torbay,CA,47.67,-52.73,35.01,86,90,17.22,overcast clouds
130,Sur,OM,22.57,59.53,73.22,71,30,3.04,scattered clouds
131,Iqaluit,CA,63.75,-68.51,26.6,63,75,6.93,broken clouds
132,Odweyne,SO,9.41,45.06,69.71,38,0,15.46,clear sky
133,Nevelsk,RU,46.67,141.86,28.4,92,28,11.05,smoke
134,Camabatela,AO,-8.19,15.38,64.85,100,38,3.49,light rain
135,Salmo,CA,49.2,-117.27,37.4,83,100,8.05,overcast clouds
136,Timizart,DZ,36.8,4.27,59.72,90,43,3.62,scattered clouds
137,Uige,AO,-7.61,15.06,69.26,93,69,2.06,light rain
138,Charqueada,BR,-22.51,-47.78,87.84,45,34,5.75,heavy intensity rain
139,Bluff,NZ,-46.6,168.33,53.01,96,100,8.01,moderate rain
140,Simao,CN,22.79,100.97,58.51,82,22,1.5,few clouds
141,Bambanglipuro,ID,-7.95,110.28,78.94,86,99,7.76,overcast clouds
142,Komsomolskiy,UZ,40.43,71.72,37.4,69,0,4.7,clear sky
143,Arraial Do Cabo,BR,-22.97,-42.03,84.2,74,20,12.75,few clouds
144,Toropets,RU,56.5,31.64,30.9,95,98,7.29,overcast clouds
145,Kavieng,PG,-2.57,150.8,82.8,77,94,12.39,moderate rain
146,Hithadhoo,MV,-0.6,73.08,83.03,77,99,20.2,moderate rain
147,Nantucket,US,41.28,-70.1,50.0,61,1,11.41,clear sky
148,Sumbe,AO,-11.21,13.84,77.81,78,34,8.57,scattered clouds
149,Nhulunbuy,AU,-12.23,136.77,80.6,88,32,6.89,scattered clouds
150,Bonthe,SL,7.53,-12.51,83.1,72,9,7.85,clear sky
151,San Policarpo,PH,12.18,125.51,81.54,86,66,8.97,broken clouds
152,Waddan,LY,29.16,16.14,65.98,47,81,4.0,broken clouds
153,Ondjiva,AO,-17.07,15.73,78.8,51,75,7.23,light rain
154,Santarem,BR,-2.44,-54.71,89.6,62,40,11.41,scattered clouds
155,Labuhan,ID,-6.88,112.21,81.27,79,54,5.59,broken clouds
156,Provideniya,RU,64.38,-173.3,24.87,97,100,6.87,light snow
157,Tura,IN,25.52,90.22,66.24,82,5,4.05,clear sky
158,Yarmouth,US,41.71,-70.23,51.01,49,1,10.29,clear sky
159,Sitka,US,57.05,-135.33,30.2,92,40,3.02,scattered clouds
160,Waingapu,ID,-9.66,120.26,80.87,66,77,3.71,broken clouds
161,Awjilah,LY,29.11,21.29,61.93,56,0,4.34,clear sky
162,Karratha,AU,-20.74,116.85,74.48,58,0,9.26,clear sky
163,Portland,US,45.52,-122.68,53.01,81,40,11.41,scattered clouds
164,Sept-Iles,CA,50.2,-66.38,33.01,87,34,2.24,scattered clouds
165,Tank,PK,32.22,70.38,60.58,64,0,8.84,clear sky
166,Sortavala,RU,61.71,30.69,35.58,85,95,12.3,overcast clouds
167,Fortuna,US,40.6,-124.16,60.01,87,90,12.75,overcast clouds
168,Sarny,UA,51.34,26.6,44.42,91,99,3.51,overcast clouds
169,Deputatskiy,RU,69.3,139.9,-9.13,91,79,4.38,broken clouds
170,Derzhavinsk,KZ,51.1,66.32,14.68,96,99,11.59,overcast clouds
171,Qaanaaq,GL,77.48,-69.36,14.27,87,97,16.06,overcast clouds
172,Ariguani,CO,10.25,-74.0,86.0,72,100,1.01,overcast clouds
173,Geraldton,AU,-28.77,114.6,53.6,81,0,8.05,clear sky
174,Buala,SB,-8.14,159.59,81.73,77,96,6.35,overcast clouds
175,Tilichiki,RU,60.47,166.1,33.58,100,100,8.03,moderate rain
176,Mastic Beach,US,40.77,-72.85,55.99,73,37,5.99,scattered clouds
177,Poddorye,RU,57.47,31.12,28.26,97,7,5.32,clear sky
178,Xuzhou,CN,34.18,117.16,54.3,82,3,7.87,clear sky
179,Margate,GB,51.38,1.39,51.01,84,47,5.01,heavy intensity rain
180,Yar-Sale,RU,66.83,70.83,6.58,93,73,9.26,broken clouds
181,Abu Samrah,SY,35.3,37.18,55.0,82,72,4.05,broken clouds
182,Acari,PE,-15.43,-74.62,78.01,41,53,12.15,broken clouds
183,Ndjole,GA,-0.18,10.76,76.66,91,24,2.39,light rain
184,Luanda,AO,-8.84,13.23,80.6,78,40,9.17,scattered clouds
185,Vila Franca Do Campo,PT,37.72,-25.43,64.4,93,75,3.36,broken clouds
186,Cabo San Lucas,MX,22.89,-109.91,82.0,57,20,3.36,few clouds
187,Wewak,PG,-3.55,143.63,79.59,84,94,7.56,light rain
188,San Patricio,US,28.02,-97.52,77.0,36,1,19.46,clear sky
189,Naron,ES,43.52,-8.15,59.0,95,100,1.01,overcast clouds
190,Tezu,IN,27.92,96.17,67.78,40,0,4.09,clear sky
191,Kumbhraj,IN,24.37,77.05,75.7,46,73,2.37,broken clouds
192,Nanortalik,GL,60.14,-45.24,26.69,87,65,9.01,broken clouds
193,Marawi,PH,8.0,124.29,77.0,91,96,5.01,overcast clouds
194,Borba,BR,-4.39,-59.59,97.88,39,14,4.29,few clouds
195,Vestmannaeyjar,IS,63.44,-20.27,39.2,69,75,13.87,broken clouds
196,Saint-Philippe,RE,-21.36,55.77,73.4,53,75,11.41,broken clouds
197,Severo-Kurilsk,RU,50.68,156.12,36.14,83,62,9.04,broken clouds
198,Tocopilla,CL,-22.09,-70.2,66.99,51,12,7.07,few clouds
199,Manokwari,ID,-0.87,134.08,79.68,75,74,5.5,broken clouds
200,Shemgang,BT,27.22,90.66,50.79,59,0,5.68,clear sky
201,Cherskiy,RU,68.75,161.3,4.42,94,100,4.68,light snow
202,Suluq,LY,31.67,20.25,64.69,70,37,8.57,scattered clouds
203,Kailua,US,21.4,-157.74,75.0,83,20,4.7,few clouds
204,Talnakh,RU,69.49,88.4,10.4,92,75,8.95,snow
205,Seymchan,RU,62.88,152.43,-5.49,90,100,6.49,light snow
